Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Knowledge of languages,          Malecite,,0,,0,,0,,20,,20,,0,
Knowledge of languages,          Mi'kmaq,,0,,0,,0,,160,,75,,85,
Knowledge of languages,        Ojibway-Potawatomi languages,,0,,0,,0,,23980,,11285,,12690,
Knowledge of languages,          Algonquin,,0,,0,,0,,205,,95,,105,
Knowledge of languages,          Ojibway,,0,,0,,0,,16220,,7600,,8630,
Knowledge of languages,          Oji-Cree,,0,,0,,0,,7515,,3585,,3935,
Knowledge of languages,          Ottawa (Odawa),,0,,0,,0,,200,,105,,100,
Knowledge of languages,        Algonquian languages; n.i.e.,,0,,0,,0,,85,,40,,50,
Knowledge of languages,      Athabaskan languages,,0,,0,,0,,85,,25,,65,
Knowledge of languages,        Northern Athabaskan languages,,0,,0,,0,,80,,25,,55,
Knowledge of languages,          Babine (Wetsuwet'en),,0,,0,,0,,10,,0,,0,
Knowledge of languages,          Beaver,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Carrier,,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Chilcotin,,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Dene,,0,,0,,0,,45,,20,,30,
Knowledge of languages,          Dogrib (Tlicho),,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Gwich'in,,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Sarsi (Sarcee),,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Sekani,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Slavey-Hare languages,,0,,0,,0,,10,,0,,0,
Knowledge of languages,            North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            South Slavey,,0,,0,,0,,0,,0,,10,
Knowledge of languages,            Slavey; n.o.s.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tahltan languages,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Tahltan,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Tutchone languages,,0,,0,,0,,10,,0,,0,
Knowledge of languages,            Northern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,            Southern Tutchone,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Athabaskan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Haida,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Inuit languages,,0,,0,,0,,840,,320,,525,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,,0,,0,,10,,0,,10,
Knowledge of languages,        Inuktitut,,0,,0,,0,,730,,285,,445,
Knowledge of languages,        Inuit languages; n.i.e.,,0,,0,,0,,105,,35,,70,
Knowledge of languages,      Iroquoian languages,,0,,0,,0,,1940,,810,,1125,
Knowledge of languages,        Cayuga,,0,,0,,0,,120,,35,,85,
Knowledge of languages,        Mohawk,,0,,0,,0,,1625,,710,,915,
Knowledge of languages,        Oneida,,0,,0,,0,,180,,55,,125,
Knowledge of languages,        Iroquoian languages; n.i.e.,,0,,0,,0,,50,,25,,25,
Knowledge of languages,      Kutenai,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Michif,,0,,0,,0,,180,,65,,110,
Knowledge of languages,      Salish languages,,0,,0,,0,,10,,0,,10,
Knowledge of languages,        Comox,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Halkomelem,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Lillooet,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Okanagan,,0,,0,,0,,0,,10,,0,
Knowledge of languages,        Shuswap (Secwepemctsin),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Squamish,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Straits,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Salish languages; n.i.e.,,0,,0,,0,,10,,0,,10,
Knowledge of languages,      Siouan languages,,0,,0,,0,,40,,10,,30,
Knowledge of languages,        Dakota,,0,,0,,0,,20,,10,,10,
Knowledge of languages,        Stoney,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Siouan languages; n.i.e.,,0,,0,,0,,20,,0,,15,
Knowledge of languages,      Tlingit,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Tsimshian languages,,0,,0,,0,,10,,0,,10,
Knowledge of languages,        Gitxsan (Gitksan),,0,,0,,0,,10,,0,,10,
Knowledge of languages,        Nisga'a,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Tsimshian,,0,,0,,0,,10,,0,,10,
Knowledge of languages,      Wakashan languages,,0,,0,,0,,10,,10,,0,
Knowledge of languages,        Haisla,,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Heiltsuk,,0,,0,,0,,0,,0,,10,
Knowledge of languages,        Kwakiutl (Kwak'wala),,0,,0,,0,,10,,0,,0,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Knowledge of languages,        Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Knowledge of languages,      Aboriginal languages; n.o.s.,,0,,0,,0,,210,,100,,110,
Knowledge of languages,    Non-Aboriginal languages,,40950,,19195,,21750,,4397690,,2099820,,2297865,
Knowledge of languages,      Afro-Asiatic languages,,3185,,1570,,1615,,362645,,183050,,179595,
Knowledge of languages,        Berber languages,,30,,15,,10,,925,,505,,415,
Knowledge of languages,          Kabyle,,10,,0,,0,,530,,280,,255,
Knowledge of languages,          Berber languages; n.i.e.,,25,,15,,10,,390,,225,,165,
Knowledge of languages,        Cushitic languages,,20,,10,,15,,34160,,15155,,19000,
Knowledge of languages,          Bilen,,0,,0,,0,,355,,200,,160,
Knowledge of languages,          Oromo,,0,,10,,10,,2075,,905,,1175,
Knowledge of languages,          Somali,,10,,0,,10,,31535,,13925,,17610,
Knowledge of languages,          Cushitic languages; n.i.e.,,0,,0,,0,,370,,170,,205,
Knowledge of languages,        Semitic languages,,3150,,1550,,1600,,330315,,168750,,161570,
Knowledge of languages,          Amharic,,30,,20,,10,,16010,,7565,,8445,
Knowledge of languages,          Arabic,,2750,,1375,,1375,,246015,,127015,,119000,
Knowledge of languages,          Assyrian Neo-Aramaic,,35,,0,,35,,17825,,8775,,9050,
Knowledge of languages,          Chaldean Neo-Aramaic,,35,,15,,15,,6185,,3045,,3140,
Knowledge of languages,          Harari,,0,,0,,0,,1310,,660,,645,
Knowledge of languages,          Hebrew,,265,,135,,135,,43255,,22165,,21090,
Knowledge of languages,          Maltese,,85,,30,,50,,7020,,3455,,3570,
Knowledge of languages,          Tigrigna,,0,,0,,0,,9385,,4320,,5065,
Knowledge of languages,          Semitic languages; n.i.e.,,25,,15,,15,,1985,,1010,,975,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0,,10,,0,,1125,,535,,590,
Knowledge of languages,      Austro-Asiatic languages,,455,,200,,255,,99830,,46210,,53620,
Knowledge of languages,        Khmer (Cambodian),,45,,20,,15,,10045,,4490,,5550,
Knowledge of languages,        Vietnamese,,420,,185,,240,,90265,,41965,,48300,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0,,0,,0,,60,,10,,50,
Knowledge of languages,      Austronesian languages,,1940,,770,,1170,,249435,,98295,,151150,
Knowledge of languages,        Bikol,,0,,0,,0,,755,,340,,425,
Knowledge of languages,        Cebuano,,80,,35,,50,,9475,,3650,,5830,
Knowledge of languages,        Fijian,,15,,10,,10,,110,,40,,65,
Knowledge of languages,        Hiligaynon,,20,,10,,10,,3110,,1205,,1910,
Knowledge of languages,        Ilocano,,100,,35,,70,,15235,,5940,,9295,
Knowledge of languages,        Malagasy,,0,,0,,0,,215,,115,,100,
Knowledge of languages,        Malay,,55,,20,,35,,9780,,4500,,5280,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,15,,10,,10,,1935,,855,,1080,
Knowledge of languages,        Pangasinan,,0,,0,,0,,565,,245,,320,
Knowledge of languages,        Tagalog (Pilipino; Filipino),,1830,,740,,1090,,232935,,91110,,141820,
Knowledge of languages,        Waray-Waray,,0,,0,,0,,410,,125,,285,
Knowledge of languages,        Austronesian languages; n.i.e.,,15,,10,,10,,1785,,755,,1030,
Knowledge of languages,      Creole languages,,140,,75,,65,,30260,,13525,,16735,
Knowledge of languages,        Haitian Creole,,10,,10,,0,,1430,,605,,830,
Knowledge of languages,        Creole; n.o.s.,,65,,30,,35,,19375,,8480,,10895,
Knowledge of languages,        Creole languages; n.i.e.,,65,,40,,25,,9685,,4525,,5155,
Knowledge of languages,      Dravidian languages,,700,,350,,345,,196315,,97975,,98335,
Knowledge of languages,        Kannada,,80,,40,,40,,5775,,2930,,2845,
Knowledge of languages,        Malayalam,,310,,155,,155,,22880,,11535,,11345,
Knowledge of languages,        Tamil,,300,,150,,155,,157700,,77975,,79730,
Knowledge of languages,        Telugu,,60,,35,,20,,16315,,8925,,7390,
Knowledge of languages,        Dravidian languages; n.i.e.,,0,,0,,0,,495,,250,,240,
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0,,545,,265,,280,
Knowledge of languages,      Indo-European languages,,29195,,13840,,15360,,2608060,,1265535,,1342525,
Knowledge of languages,        Albanian,,195,,100,,95,,22375,,11180,,11195,
Knowledge of languages,        Armenian,,65,,40,,25,,18435,,8860,,9575,
Knowledge of languages,        Balto-Slavic languages,,8355,,3880,,4470,,473565,,221450,,252120,
Knowledge of languages,          Baltic languages,,290,,110,,175,,10545,,4495,,6050,
Knowledge of languages,            Latvian,,90,,40,,50,,4675,,2070,,2610,
Knowledge of languages,            Lithuanian,,200,,75,,125,,5875,,2430,,3445,
Knowledge of languages,          Slavic languages,,8100,,3785,,4315,,465170,,217885,,247285,
Knowledge of languages,            Belarusan,,0,,0,,0,,1360,,680,,680,
Knowledge of languages,            Bosnian,,195,,100,,95,,9915,,4905,,5010,
Knowledge of languages,            Bulgarian,,75,,40,,40,,10410,,5060,,5350,
Knowledge of languages,            Croatian,,1485,,750,,730,,46580,,22880,,23700,
Knowledge of languages,            Czech,,325,,155,,175,,14045,,6615,,7430,
Knowledge of languages,            Macedonian,,200,,100,,95,,21505,,10365,,11140,
Knowledge of languages,            Polish,,2920,,1275,,1645,,142985,,65415,,77575,
Knowledge of languages,            Russian,,1180,,565,,615,,138735,,64355,,74380,
Knowledge of languages,            Serbian,,1055,,555,,500,,53250,,26725,,26525,
Knowledge of languages,            Serbo-Croatian,,90,,40,,50,,5815,,2845,,2965,
Knowledge of languages,            Slovak,,290,,115,,170,,12035,,5550,,6490,
Knowledge of languages,            Slovene (Slovenian),,170,,85,,90,,7935,,3550,,4390,
Knowledge of languages,            Ukrainian,,870,,365,,515,,54615,,24125,,30490,
Knowledge of languages,            Slavic languages; n.i.e.,,25,,10,,10,,1750,,935,,815,
Knowledge of languages,        Celtic languages,,65,,25,,40,,3800,,1880,,1920,
Knowledge of languages,          Scottish Gaelic,,15,,10,,0,,1480,,720,,765,
Knowledge of languages,          Welsh,,20,,15,,0,,685,,300,,390,
Knowledge of languages,          Celtic languages; n.i.e.,,30,,10,,25,,1650,,870,,785,
Knowledge of languages,        Germanic languages,,4395,,2025,,2375,,274305,,130610,,143700,
Knowledge of languages,          Afrikaans,,275,,120,,155,,7360,,3625,,3735,
Knowledge of languages,          Danish,,125,,55,,75,,5440,,2455,,2980,
Knowledge of languages,          Dutch,,1230,,575,,650,,63410,,29875,,33535,
Knowledge of languages,          Frisian,,30,,10,,15,,1655,,820,,835,
Knowledge of languages,          German,,2685,,1235,,1455,,189035,,90730,,98305,
Knowledge of languages,          Icelandic,,15,,10,,0,,285,,130,,155,
Knowledge of languages,          Norwegian,,30,,0,,30,,2140,,975,,1165,
Knowledge of languages,          Swedish,,110,,70,,40,,5125,,2345,,2785,
Knowledge of languages,          Vlaams (Flemish),,40,,15,,25,,2275,,1050,,1225,
Knowledge of languages,          Yiddish,,0,,0,,10,,7175,,3535,,3640,
Knowledge of languages,          Germanic languages; n.i.e.,,0,,10,,0,,3290,,1645,,1645,
Knowledge of languages,        Greek,,605,,335,,270,,80690,,40105,,40590,
Knowledge of languages,        Indo-Iranian languages,,6705,,3335,,3375,,915765,,463175,,452585,
Knowledge of languages,          Indo-Aryan languages,,5640,,2790,,2850,,759390,,384940,,374450,
Knowledge of languages,            Bengali,,180,,80,,100,,59685,,30420,,29265,
Knowledge of languages,            Gujarati,,755,,355,,400,,103890,,52380,,51510,
Knowledge of languages,            Hindi,,2055,,1025,,1035,,250095,,127765,,122335,
Knowledge of languages,            Kashmiri,,20,,10,,10,,600,,300,,300,
Knowledge of languages,            Konkani,,0,,0,,10,,5490,,2515,,2975,
Knowledge of languages,            Marathi,,85,,50,,35,,10360,,5380,,4980,
Knowledge of languages,            Nepali,,0,,0,,0,,10245,,5115,,5135,
Knowledge of languages,            Oriya (Odia),,10,,0,,10,,1090,,515,,570,
Knowledge of languages,            Punjabi (Panjabi),,2565,,1295,,1270,,282065,,145050,,137015,
Knowledge of languages,            Sindhi,,75,,20,,50,,11515,,5385,,6130,
Knowledge of languages,            Sinhala (Sinhalese),,160,,80,,80,,18555,,9230,,9330,
Knowledge of languages,            Urdu,,1465,,765,,695,,231500,,117305,,114190,
Knowledge of languages,          Iranian languages,,1090,,570,,525,,163490,,81710,,81785,
Knowledge of languages,            Kurdish,,75,,45,,25,,8795,,4755,,4040,
Knowledge of languages,            Pashto,,55,,30,,25,,15315,,8145,,7170,
