School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
"Children's Montessori School, The",878138,,Jennifer Connelly,,,186 Romaine St,Peterborough,Ontario,K9J2C4,705-742-8442,705-742-4357,East Region,www.childrensmontessorischool.com,Elementary,Not applicable,Site based only,No
Children's Urban Enrichment Studio,666652,,Eleni Makrikostas,,,2986 Lakeshore Boulevard West,Toronto,Ontario,M8V1J9,647-781-6091,,Toronto Region,www.cueskids.com,Elementary,Not applicable,Site based only,No
Chisholm Academy,888699,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sylvia Moyssakos,,,1484 Cornwall Rd,Oakville,Ontario,L6J7W5,905-844-3240,905-844-7321,Central Region,www.chisholmacademy.com,Elem/Sec,Not applicable,Site based only,No
Chisholm Parochial School,886567,,Henry Hochstetler,,,213 Kells Road,Powassan,Ontario,P0H1Z0,,,North Region,,Elementary,Not applicable,Site based only,No
Christadelphian Heritage College,881375,,Peter Robinson,,,522 Book Road East,Ancaster,Ontario,L9G3L1,905-304-8222,,West Region,www.heritagecollege.ca,Elementary,Not applicable,Site based only,No
Christian Virtual School,669600,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sarah McKercher,,,38 Mary Street,Clinton,Ontario,N0M1L0,226-458-4202,,West Region,https://www.christianvirtualschool.com/,Elem/Sec,All Year Round,Online Only,No
Church of God Christian,888612,,Henry Hildebrandt,,82,751 John Street N,Aylmer,Ontario,N5H2R8,519-773-7259,,West Region,,Elem/Sec,Not applicable,Site based only,No
City High School,885329,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin Huang,,,230 St Clair Ave W Ave,Toronto,Ontario,M4V1R5,647-351-6040,,Toronto Region,www.cityhs.ca,Secondary,Not applicable,Site based only,No
Clanmore Montessori School,877921,,Grace Kidney,,,2463 Lakeshore Rd E,Oakville,Ontario,L6J1M7,905-337-8283,905-842-2898,Central Region,http://www.clanmore.ca,Elementary,Not applicable,Site based only,Accredited Member of CCMA
"Claremont School, The",883818,,Evelyn Reiss,,,70 Silver Birch AVE,TORONTO,Ontario,M4E3K9,416-778-6336,,Toronto Region,www.claremontschool.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Clearview Parochial,886246,,Eva Shantz,,,2447 Three Bridges Road 4,Elmira,Ontario,N3B2Z3,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Clearview School of Arts and Culture,887461,,Dongzhen Pang,101/201 West,,1300 Don Mills Rd,North York,Ontario,M3B2W6,647-898-1883,,East Region,,Elementary,Not applicable,Site based only,No
Clyfford Academy,884300,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Ventresca,,,1875 Niagara Stone Road,Niagara-on-the-Lake,Ontario,L0S1J0,289-868-9200,,West Region,www.clyfford.ca,Secondary,All Year Round,Online Only,No
Cobden Corner's Parochial School,668898,,Sara Beth Horst,,,98 Snake River Line,Cobden,Ontario,K0J1K0,,,East Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parachial Schools
Cold Creek Parochial School,885389,,Lucinda Martin,,,1022 Cold Creek Road,Eganville,Ontario,N0G2X0,,,East Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial School
Colin MacDonald Alternative School,876682,,Christine Borsellino,,,201 Paradise Rd N,Hamilton,Ontario,L8S3T3,905-525-6336,,West Region,www.colinmacdonald.ca,Elementary,Not applicable,Site based only,No
College Park Elementary School,887552,,Michelle DeSilva,,,220 Townline Rd. N.,Oshawa,Ontario,L1K2J6,905-723-0163,905-723-2984,East Region,www.cpes.ca,Elementary,Not applicable,Site based only,No
Collège Ontario College,885559,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anchuan Jiang,500,,3550 Victoria Park Ave,North York,Ontario,M2H2N5,416-798-8899,416-798-8898,Central Region,www.ontariocollege.ca,Secondary,All Year Round,Online/Site Based,Ontario Federal of Independent Schools
Collège Toronto College,889437,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anchuan Jiang,Suite 518,,3550 Victoria Park Avenue,North York,Ontario,M2H2N5,416-789-8888,416-789-8989,Central Region,www.torontocollege.ca,Secondary,All Year Round,Online/Site Based,Ontario Federation of Independent Schools
Columbia International College of Canada,880183,Offers credits toward the Ontario Secondary School Diploma (OSSD),Diana Reid,,,1003 Main St W,Hamilton,Ontario,L8S4P3,905-572-7883,,West Region,http://www.cic-totalcare.com,Secondary,All Year Round,Online/Site Based,ISAO
Columbus Private School,669701,,Carolyn Donison,,,3285 Simcoe Street North,Oshawa,Ontario,L1H7K4,289-988-1555,,East Region,www.columbusprivateschool.com,Elementary,Not applicable,Site based only,No
Community Christian School,881198,,Rita Bergsma,,,2681 Glen Street,Metcalfe,Ontario,K0A2P0,613-821-3669,613-821-6135,East Region,www.communitychristianschool.ca,Elementary,Not applicable,Site based only,Edvance
Community Christian School,885380,,Raymond Verburg,,,35 High Street,Drayton,Ontario,N0G1P0,519-638-2935,,West Region,www.ccsdrayton.org,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Community Life Christian School,669150,,Fengyu Jia,,,140 Dawes Road,Toronto,Ontario,M4C5C2,416-893-1461,,Toronto Region,www.communitylifechristianschool.com,Elem/Sec,Not applicable,Site based only,ACSI(Accociation of Christian Schools International)
Concord College of Canada,888319,Offers credits toward the Ontario Secondary School Diploma (OSSD),DAVE MITRO,F200,,1550 16th Avenue,Richmond Hill,Ontario,L4B3K9,905-237-6729,,Central Region,www.concordcollege.ca,Secondary,All Year Round,Online/Site Based,No
Concordia Ontario Academy,669705,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lou Vescio,,,1165 Centre Street,Fenwick,Ontario,L0S1C0,905-351-0906,,West Region,https://concordia-academy.com,Elem/Sec,Not applicable,Online Only,Ontario Federation of Independent Schools
Convoy Int'l Secondary Academy-ESSA,669325,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wesley Davis,,,8058 8th Line West,Utopia,Ontario,L0M1T0,905-597-0863,,Central Region,convoyinternational.ca,Secondary,Not applicable,Site based only,OFIS
Convoy International Secondary Academy,882508,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wesley Davis,202,,5416 Side Road 25,Utopia,Ontario,L0M1T0,905-597-0863,,Central Region,www.convoyinternational.ca,Secondary,Not applicable,Online Only,OFIS
Corinth Christian School,877832,,Weber Elverne,,,54519 Eden Line Line,Aylmer,Ontario,N5H2R3,519-866-3883,519-765-2662,West Region,,Elem/Sec,Not applicable,Site based only,No
Cornell International Academy,669233,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tyler Simon,303,,250 Sheppard Avenue East,Toronto,Ontario,M2N6M9,647-350-8582,647-350-8583,Central Region,www.cornellacademy.ca,Secondary,All Year Round,Site based only,No
Cornerstone Christian School,880825,,Arnold Good,,,1298 Lisbon Road,Wellesley,Ontario,N0B2T0,519-634-8575,519-634-8898,West Region,,Elem/Sec,Not applicable,Site based only,No
Cornerstone Christian School,886395,,James Kanis,,,108 FOREST ST,GUELPH,Ontario,N1G1H9,519-837-4092,,West Region,www.guelphcornerstone.com,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Cornerstone Christian School Emo,886462,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wilma Kooistra,,518,11 School Street,Emo,Ontario,P0W1E0,807-482-3838,,North Region,,Elem/Sec,Not applicable,Site based only,Edvance
Cornerstone Community Christian School,665238,,Michelle Gerber,,,1298 Lisbon Rd.,Wellesley,Ontario,N0B2T0,,,West Region,,Elem/Sec,Not applicable,Site based only,No
Cornerstone Preparatory - Main,875376,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephanie Ling,,,177 Beverley St,Toronto,Ontario,M5T1Y7,416-977-1204,416-977-0065,Toronto Region,www.cornerstoneprep.ca,Elem/Sec,Not applicable,Online/Site Based,Association of Christian Schools International
Cornerstone Reformed Protestant School,668953,,Craig Ferguson,,,13 S Elizabeth Street,Teeswater,Ontario,N0G2S0,,,West Region,N/A,Elem/Sec,Not applicable,Site based only,No
Cornerstone Schoolhouse,665334,,Molly Groves,,369,36 Albert St,Clinton,Ontario,N0M1L0,519-525-8821,,West Region,,Elementary,Not applicable,Site based only,No
Cossara Summers Education Centre,665932,Offers credits toward the Ontario Secondary School Diploma (OSSD),Valeria Daskalov,,,5635 Yonge Street M2M 3S9,North York,Ontario,L4E3V4,647-825-2677,,Central Region,www.cossara.com,Secondary,Summer,Site based only,No
Country Casa Academy,885988,,Rocco Priore,,,14994 Highway 48,Stouffville,Ontario,L4A3B6,905-640-5437,,Central Region,countrycasa.ca,Elementary,Not applicable,Site based only,No
Country Echoes Parochial School,884921,,Connie Bauman,,,8117 Line 12 1,Conn,Ontario,N0G1N0,519-400-5569,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington Perth Parochial School
Country Garden Montessori Academy,877425,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hilsenteger Donna,,,601 Newpark Blvd,Newmarket,Ontario,L3X2S2,905-898-6257,905-898-3743,Central Region,www.countrygarden.ca,Elem/Sec,Not applicable,Site based only,No
Countryside Christian School,889741,,Travis Brubaker,,Box 65,3745 Herrgott Rd,Hawkesville,Ontario,N0B1X0,519-699-5793,519-699-4576,West Region,,Elem/Sec,Not applicable,Site based only,No
Countryside Montessori Private School,876550,,Tonino Sampogna,,,1 Loring Drive,Bolton,Ontario,L7E1Y1,905-951-3359,905-951-3920,Central Region,countrysidemontessori.ca,Elementary,Not applicable,Site based only,No
Covenant Central Academy,668636,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nunzio Romano,207,,716 Gordon Baker Road,North York,Ontario,M2H3B4,647-802-0117,,Central Region,www.covenantcentralacademy.com,Secondary,Not applicable,Site based only,No
Covenant Christian School,889318,,Shawn Wolski,,,7 Howard Ave.,London,Ontario,N6P1B8,519-203-0266,519-203-0266,West Region,,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Coyote Nature School,665114,,Kendra Martin,,,539 Victoria Street,Harrington,Ontario,N0J1J0,519-852-1842,,East Region,www.coyotenatureschool.ca,Elementary,Not applicable,Site based only,No
Crane Lake Discovery Camp,669698,,Cynthia Weber,,713,200 South Crane Lake Road,MacTier,Ontario,P0C1H0,519-465-4738,,Central Region,cranelakediscoverycamp.org,Elementary,Not applicable,Site based only,Wilderness Road Therapeutic Camping Association
Crawford Adventist Academy (East Campus),882947,,Judy Burgin-Hall,,,1765 MEADOWVIEW  AVE AVE,PICKERING,Ontario,L1V3G7,905-839-0849,905-837-1967,East Region,www.caasda.com,Elementary,Not applicable,Site based only,No
Crawford Adventist Academy - Elementary,668882,,Lauren Chichester,,,531 Finch Avenue West,Toronto,Ontario,M2R3X2,416-633-0090,416-633-0467,Central Region,www.caasda.com,Elementary,Not applicable,Site based only,No
Crawford Adventist Academy - Peel Campus,877670,,Manuela Terencio,,,2250 Credit Valley Rd,Mississauga,Ontario,L5M4L9,905-459-0500,905-459-5464,Central Region,www.caasda.com,Elementary,Not applicable,Site based only,Ontario Federation Of Independent Schools
Crawford Adventist Academy -Secondary,887293,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andon Boyce,,,531 Finch Ave W,Toronto,Ontario,M2R3X2,416-633-0090,416-633-0467,Central Region,www.caasda.com,Secondary,Not applicable,Site based only,No
Credo Christian School,880809,,Edward Slaa,,,10301 Creditview Rd,Brampton,Ontario,L7A0X3,289-209-8383,,Central Region,credochristianschool.com,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Creek Bank Parochial,878405,,Henry Brubacher,,,1371 Grey Ox Avenue 5,Lucknow,Ontario,N0G2H0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Creekford Academy,668652,,,,,3729 Creekford Road,Westbrook,Ontario,K7P2Z7,613-929-1024,,East Region,www.creekfordacademy.ca,Elementary,Not applicable,Site based only,No
"Crescent School, The",887161,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Prosser,,,2365 Bayview Ave,Toronto,Ontario,M2L1A2,416-449-2556,416-449-7950,Central Region,http://www.crescentschool.org,Elem/Sec,Not applicable,Site based only,CIS Ontario and CAIS
Crestwood Preparatory College Inc.,665266,Offers credits toward the Ontario Secondary School Diploma (OSSD),John David Hecock,,,217 Brookbanks Dr,Toronto,Ontario,M3A2T7,416-391-1441,416-444-0949,Central Region,www.crestwood.on.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
Crestwood School,881570,,Dalia Eisen,,,411 Lawrence Ave. E,Toronto,Ontario,M3C1N9,416-444-5858,416-444-2127,Central Region,http://www.crestwoodschool.com,Elementary,Not applicable,Online/Site Based,Conference of Independent Schools
Croton Christian Day School,881305,,Kreider Kevin,,,29923 Oakdale Road,Croton,Ontario,N0P1K0,519-692-5305,,West Region,,Elem/Sec,Not applicable,Site based only,No
Crown Academy,882866,Offers credits toward the Ontario Secondary School Diploma (OSSD),Miao Sun,2nd F,,5200 Yonge Street,North York,Ontario,M2N5P6,416-228-8898,416-628-5692,Central Region,www.crownaca.com,Secondary,All Year Round,Site based only,No
DURHAM-E-CENTER OF EDUCATION,885137,,Roomeelah Mowlah,14,,1550 Kingston Rd,Pickering,Ontario,L1V1C3,647-968-7951,,East Region,https://durhamelearning.com,Elementary,Not applicable,Online/Site Based,No
"Dalton School, The",668728,,Mandy Wang,,,906 Yonge Street,Toronto,Ontario,M4W2J2,416-432-3475,,Toronto Region,www.thedaltonschool.ca,Elementary,Not applicable,Site based only,No
Darul Arqam Islamic Academy,889900,,Humaira Alam,,,585 Trethewey Drive,North York,Ontario,M6M4B8,416-400-0062,416-744-8026,Central Region,www.darularqam.ca,Elementary,Not applicable,Site based only,No
Darul-Uloom Canada - Chatham,880921,,HUSAIN MEMON,,,51 PRINCE ST N,CHATHAM,Ontario,N7M4J7,519-360-1028,519-360-1023,West Region,www.ducanada.org,Elem/Sec,Not applicable,Online/Site Based,No
Daryk High School (DH School),882053,Offers credits toward the Ontario Secondary School Diploma (OSSD),Selon Ashouri,2B,,5467 YONGE ST,North York,Ontario,M2N5S1,416-222-8408,,Central Region,www.darykhighschool.com,Elem/Sec,All Year Round,Online/Site Based,No
Dasmesh Khalsa School,886138,,Harkiran Gill,6,,139 Devon Road,Brampton,Ontario,L6T5P8,416-670-2802,,Central Region,,Elementary,Not applicable,Site based only,No
Dayspring Christian School,886320,,Elmer Wideman,,,172 Wilson Road,Stirling,Ontario,K0K3E0,613-922-3839,,East Region,,Elem/Sec,Not applicable,Site based only,No
De La Salle College,886939,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Voutsinos,,,131 FARNHAM AVE,TORONTO,Ontario,M4V1H7,416-969-8771,416-969-9175,Toronto Region,www.delasalle.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools (CIS)
Dearcroft Montessori School,666168,,Breanne Rymes,,,1167 LAKESHORE RD E,Oakville,Ontario,L6J1L3,905-844-2114,,Central Region,www.dearcroft-montessori.com,Elementary,Not applicable,Site based only,Canadian Association of Montessori Administrators
Debbie Campbell Learning Academy,666890,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kyla Clark,,,440 ALBERT St.,Ottawa,Ontario,K1R5B5,613-741-8212,613-741-9087,East Region,,Secondary,Not applicable,Site based only,No
Deer Lake First Nations,663344,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mila Morris,,Box 69,,Deer Lake,Ontario,P0V1N0,807-775-2055,807-775-2148,North Region,,Elem/Sec,First Nation,Site based only,No
Deer Trail Parochial School,669502,,Lydian Wideman,,,251 Hayes Lake Avenue 1,Holyrood,Ontario,N0G2B0,,,Central Region,,Elementary,Not applicable,Site based only,No
Delano Academy,884533,,Sandy Palombo,,,200 Racco Parkway,Vaughan,Ontario,L4J8X9,905-237-7315,,Central Region,www.delanoacademy.com,Elementary,Not applicable,Site based only,"OFIS, SSAF"
Delores D. Echum Composite,667072,Offers credits toward the Ontario Secondary School Diploma (OSSD),Donald Cheechoo,,86,28 Amisk St,MOOSE FACTORY,Ontario,P0L1W0,705-658-5610,705-658-5611,North Region,www.mcea.ca,Elem/Sec,First Nation,Site based only,No
Delta Academy Inc,667561,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ajantharooban Mahendran,1,,1160 Tapscott Road,Scarborough,Ontario,M1X1E9,416-751-2011,,East Region,,Secondary,All Year Round,Site based only,No
Dennis Franklin Cromarty High School,663921,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sharon Angeconeb,,,315 North Edward St,Thunder Bay,Ontario,P7C4P3,807-623-8914,807-623-2918,North Region,www.nnec.on.ca,Secondary,First Nation,Site based only,NNEC
Deran Academy,669640,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chloe Liang,,,8980 Woodbine Ave,Markham,Ontario,L3R0J7,289-597-0109,,Central Region,www.deranacademy.com,Secondary,All Year Round,Online/Site Based,No
Deran Online Academy,669544,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chloe Liang,,,60 Rockport Crescent,Richmond Hill,Ontario,L4C2L6,289-597-0109,,Central Region,www.deranacademy.online,Secondary,All Year Round,Online/Site Based,No
